,For,Party,Title(s),address,link,name,office
133,"Grey, South Australia",Liberal Party of Australia,Government Whip,"104 Ellen St
                                             Port Pirie, SA, 5540",/Senators_and_Members/Parliamentarian?MPID=HWS,Mr Rowan Ramsey MP,1.0
134,"Grey, South Australia",Liberal Party of Australia,Government Whip,"45a Playford Ave
                                             Whyalla, SA, 5600",/Senators_and_Members/Parliamentarian?MPID=HWS,Mr Rowan Ramsey MP,2.0
135,"Kingston, South Australia",Australian Labor Party,,"232 Main South Road
                                             Morphett Vale, SA, 5162",/Senators_and_Members/Parliamentarian?MPID=HWA,Hon Amanda Rishworth MP,1.0
136,"Fadden, Queensland",Liberal Party of Australia,,"Unit 1, 110 Brisbane Road
                                             Labrador, QLD, 4215",/Senators_and_Members/Parliamentarian?MPID=HWT,Hon Stuart Robert MP,1.0
137,"Greenway, New South Wales",Australian Labor Party,,"230 Prospect Highway
                                             Seven Hills, NSW, 2147",/Senators_and_Members/Parliamentarian?MPID=159771,Ms Michelle Rowland MP,1.0
138,"Lalor, Victoria",Australian Labor Party,Opposition Whip,"Tenancies 3 & 4
                                             203-205 Watton Street
                                                 Werribee, VIC, 3030",/Senators_and_Members/Parliamentarian?MPID=249224,Ms Joanne Ryan MP,1.0
139,"Mayo, South Australia",Nick Xenophon Team,,"1/72 Gawler Street
                                             Mt Barker, SA, 5251",/Senators_and_Members/Parliamentarian?MPID=265980,Ms Rebekha Sharkie MP,1.0
140,"Maribyrnong, Victoria",Australian Labor Party,Leader of the Opposition,"Suite 1A, 12 Hall Street
                                             Moonee Ponds, VIC, 3039",/Senators_and_Members/Parliamentarian?MPID=00ATG,Hon Bill Shorten MP,1.0
141,"Casey, Victoria",Liberal Party of Australia,Speaker,"Suite 1
                                             1 East Ridge Drive
                                                 Chirnside Park, VIC, 3116",/Senators_and_Members/Parliamentarian?MPID=00APG,Hon Tony Smith MP,1.0
142,"Lingiari, Northern Territory",Australian Labor Party,,"Unit 3, 12 Gregory Terrace
                                             Alice Springs, NT, 0870",/Senators_and_Members/Parliamentarian?MPID=IJ4,Hon Warren Snowdon MP,1.0
