,For,Party,Title(s),address,link,name,office
63,"Cowper, New South Wales",The Nationals,Assistant Minister to the Deputy Prime Minister,"39 Little Street
                                             Coffs Harbour, NSW, 2450",/Senators_and_Members/Parliamentarian?MPID=00AMM,Hon Luke Hartsuyker MP,1.0
64,"Canning, Western Australia",Liberal Party of Australia,,"Unit 2
                                             61 Sutton Street
                                                 Mandurah, WA, 6210",/Senators_and_Members/Parliamentarian?MPID=260805,Mr Andrew Hastie MP,1.0
65,"Mitchell, New South Wales",Liberal Party of Australia,Assistant Minister for Immigration and Border Protection,"Suite 8
                                             23 Terminus Street
                                                 Castle Hill, NSW, 2154",/Senators_and_Members/Parliamentarian?MPID=HWO,Hon Alex Hawke MP,1.0
66,"Fowler, New South Wales",Australian Labor Party,Chief Opposition Whip,"Level 2
                                             24-32 Hughes Street
                                                 Cabramatta, NSW, 2166",/Senators_and_Members/Parliamentarian?MPID=ECV,Mr Chris Hayes MP,1.0
67,"Corangamite, Victoria",Liberal Party of Australia,,"3A/195 Colac Rd
                                             Waurn Ponds, VIC, 3216",/Senators_and_Members/Parliamentarian?MPID=ZN4,Ms Sarah Henderson MP,1.0
68,"Bruce, Victoria",Australian Labor Party,,"Shop 98A
                                             Waverley Gardens Shopping Centre
                                                 Mulgrave, VIC, 3170",/Senators_and_Members/Parliamentarian?MPID=86256,Mr Julian Hill MP,1.0
69,"Page, New South Wales",The Nationals,,"61-63 Molesworth Street
                                             Lismore, NSW, 2480",/Senators_and_Members/Parliamentarian?MPID=218019,Mr Kevin Hogan MP,1.0
70,"Petrie, Queensland",Liberal Party of Australia,,"40 Hornibrook Esplanade
                                             Clontarf Beach, QLD, 4019",/Senators_and_Members/Parliamentarian?MPID=247742,Mr Luke Howarth MP,1.0
71,"Flinders, Victoria",Liberal Party of Australia,Innovation and Science,"Shop 4, 184 Salmon Street
                                             Hastings, VIC, 3915",/Senators_and_Members/Parliamentarian?MPID=00AMV,Hon Greg Hunt MP,1.0
72,"Lindsay, New South Wales",Australian Labor Party,,"Ground Floor
                                             331 High Street
                                                 Penrith, NSW, 2750",/Senators_and_Members/Parliamentarian?MPID=263328,Ms Emma Husar MP,1.0
73,"Chifley, New South Wales",Australian Labor Party,,"6/15 Cleeve Close
                                             Mt Druitt, NSW, 2770",/Senators_and_Members/Parliamentarian?MPID=91219,Hon Ed Husic MP,1.0
74,"Swan, Western Australia",Liberal Party of Australia,,"G3, 59 Albany Highway
                                             Victoria Park, WA, 6101",/Senators_and_Members/Parliamentarian?MPID=HYM,Mr Steve Irons MP,1.0
75,"Whitlam, New South Wales",Australian Labor Party,,"2/1 Bong Bong Road
                                             Dapto, NSW, 2530",/Senators_and_Members/Parliamentarian?MPID=A9B,Mr Stephen Jones MP,1.0
76,"New England, New South Wales",The Nationals,Minister for Agriculture and Water Resources,"Shop 5
                                             259 Peel Street
                                                 Tamworth, NSW, 2340",/Senators_and_Members/Parliamentarian?MPID=E5D,Hon Barnaby Joyce MP,1.0
77,"New England, New South Wales",The Nationals,Minister for Agriculture and Water Resources,"255 Rouse Street
                                             Tenterfield, NSW, 2372",/Senators_and_Members/Parliamentarian?MPID=E5D,Hon Barnaby Joyce MP,2.0
78,"Kennedy, Queensland",Katter's Australian Party,,"Corner Edith and Owen Streets
                                             Innisfail, QLD, 4860",/Senators_and_Members/Parliamentarian?MPID=HX4,Hon Bob Katter MP,1.0
79,"Kennedy, Queensland",Katter's Australian Party,,"42-44 Simpson Street
                                             Mount Isa, QLD, 4825",/Senators_and_Members/Parliamentarian?MPID=HX4,Hon Bob Katter MP,2.0
80,"Braddon, Tasmania",Australian Labor Party,,"Shop 2-32 Wilmot Street
                                             Burnie, TAS, 7320",/Senators_and_Members/Parliamentarian?MPID=262273,Ms Justine Keay MP,1.0
81,"Stirling, Western Australia",Liberal Party of Australia,Minister for Justice,"Units 3 and 4, 19 Wotan Street
                                             Innaloo, WA, 6018",/Senators_and_Members/Parliamentarian?MPID=E0J,Hon Michael Keenan MP,1.0
82,"Hughes, New South Wales",Liberal Party of Australia,,"Shop 1, 9-15 East Parade
                                             Sutherland, NSW, 2232",/Senators_and_Members/Parliamentarian?MPID=99931,Mr Craig Kelly MP,1.0
83,"Eden-Monaro, New South Wales",Australian Labor Party,,"Unit 1
                                             21-25 Monaro Street
                                                 Queanbeyan, NSW, 2620",/Senators_and_Members/Parliamentarian?MPID=HRI,"Hon Dr Mike Kelly AM, MP",1.0
84,"Eden-Monaro, New South Wales",Australian Labor Party,,"1/225 Carp Street
                                             Bega, NSW, 2550",/Senators_and_Members/Parliamentarian?MPID=HRI,"Hon Dr Mike Kelly AM, MP",2.0
85,"Burt, Western Australia",Australian Labor Party,,"Unit 2, 2808 Albany Highway
                                             Kelmscott, WA, 6111",/Senators_and_Members/Parliamentarian?MPID=249147,Mr Matt Keogh MP,1.0
86,"Wills, Victoria",Australian Labor Party,,"3 Munro Street
                                             Coburg, VIC, 3058",/Senators_and_Members/Parliamentarian?MPID=101351,Mr Peter Khalil MP,1.0
87,"Ballarat, Victoria",Australian Labor Party,,"5 Lydiard Street North
                                             Ballarat, VIC, 3350",/Senators_and_Members/Parliamentarian?MPID=00AMR,Hon Catherine King MP,1.0
88,"Brand, Western Australia",Australian Labor Party,,"Unit 1, 15 Kent Street
                                             Rockingham, WA, 6168",/Senators_and_Members/Parliamentarian?MPID=102376,Ms Madeleine King MP,1.0
89,"Longman, Queensland",Australian Labor Party,,"Init 7, Level 1
                                             69 King Street
                                                 Caboolture, QLD, 4510",/Senators_and_Members/Parliamentarian?MPID=265975,Ms Susan Lamb MP,1.0
90,"Bowman, Queensland",Liberal Party of Australia,,"10/32 Middle Street
                                             Cleveland, QLD, 4163",/Senators_and_Members/Parliamentarian?MPID=E0H,Mr Andrew Laming MP,1.0
91,"Capricornia, Queensland",The Nationals,Deputy Nationals Whip,"The Swan
                                             159 Denison Street (Cnr Denham St)
                                                 Rockhampton, QLD, 4700",/Senators_and_Members/Parliamentarian?MPID=249764,Ms Michelle Landry MP,1.0
92,"Capricornia, Queensland",The Nationals,Deputy Nationals Whip,"Shop 8, Sarina Beach Road Shopping Centre
                                             13 Sarina Beach Road
                                                 Sarina, QLD, 4737",/Senators_and_Members/Parliamentarian?MPID=249764,Ms Michelle Landry MP,2.0
93,"Reid, New South Wales",Liberal Party of Australia,Innovation and Science,"72 Burwood Road
                                             Burwood, NSW, 2134",/Senators_and_Members/Parliamentarian?MPID=247130,Hon Craig Laundy MP,1.0
94,"Berowra, New South Wales",Liberal Party of Australia,,"Level 11, 423 Pennant Hills Road
                                             Pennant Hills, NSW, 2120",/Senators_and_Members/Parliamentarian?MPID=109556,Mr Julian Leeser MP,1.0
95,"Fenner, Australian Capital Territory",Australian Labor Party,,"Unit 8/1 Torrens St
                                             Braddon, ACT, 2612",/Senators_and_Members/Parliamentarian?MPID=BU8,Hon Dr Andrew Leigh MP,1.0
96,"Farrer, New South Wales",Liberal Party of Australia,Minister for Sport,"517 Kiewa Street
                                             Albury, NSW, 2640",/Senators_and_Members/Parliamentarian?MPID=00AMN,Hon Sussan Ley MP,1.0
97,"Farrer, New South Wales",Liberal Party of Australia,Minister for Sport,"100 Yambil Street
                                             Griffith, NSW, 2680",/Senators_and_Members/Parliamentarian?MPID=00AMN,Hon Sussan Ley MP,2.0
98,"Maranoa, Queensland",The Nationals,,"Suite 3, Foodworks Centre
                                             59 Condamine Street
                                                 Dalby, QLD, 4405",/Senators_and_Members/Parliamentarian?MPID=265585,Mr David Littleproud MP,1.0
99,"Maranoa, Queensland",The Nationals,,"63 Arthur Street
                                             Roma, QLD, 4455",/Senators_and_Members/Parliamentarian?MPID=265585,Mr David Littleproud MP,2.0
100,"Jagajaga, Victoria",Australian Labor Party,,"149 Burgundy Street
                                             Heidelberg, VIC, 3084",/Senators_and_Members/Parliamentarian?MPID=PG6,Hon Jenny Macklin MP,1.0
101,"Forrest, Western Australia",Liberal Party of Australia,Chief Government Whip,"Units 7 & 8 Grand Cinemas Complex
                                             Corner of Victoria and Clifton Streets
                                                 Bunbury, WA, 6230",/Senators_and_Members/Parliamentarian?MPID=HWP,Ms Nola Marino MP,1.0
102,"Corio, Victoria",Australian Labor Party,,"17A Yarra Street
                                             Geelong, VIC, 3220",/Senators_and_Members/Parliamentarian?MPID=HWQ,Hon Richard Marles MP,1.0
